id,pcn,item,mpn,onhandqty,mfg_qty,loc_to
48837,29862,8461L-75,SDR03EZPF4701,140,140,MFG Floor
59504,40003,8461L-60,VJ0603Y103JXBPW1BC,90,90,MFG Floor
59506,40005,8461L-80,CR0603-JW-105ELF,90,90,MFG Floor
57886,37921,7395-25,MF1/4DCT52R1001F,60,60,1603002
59544,40046,8461L-70,TR3E476M025C0150,40,40,MFG Floor
59508,40007,8461L-10,B520CQ-13-F,20,20,MFG Floor
59542,40044,8461L-20,INA260AIPWR,10,10,1606102
62349,42625,8622ML-15,HCLA0075EB,8,8,2103504
63508,39355,8619ML-245,TMR 6-0511,3,3,2103504
64676,44833,6163L-5,42819-4223,3,3,1603002
