pcn,item,onhandqty,last_event,last_dest,last_event_time,suggested_review
1247,7686-43,9000,PTWY,1204138,06/11/25 13:17:43,moved off floor -> location may be stale (real available stock)
38264,5684L-7,8277,PICK,MFG Floor,06/02/25 11:22:53,likely consumed/staged on floor -> verify if on-hand should be 0
798,8291-160,8200,PTWY,1205615,11/18/20 08:50:37,moved off floor -> location may be stale (real available stock)
38438,6970L-G1-20,5000,PTWY,1305707,11/17/25 10:08:12,moved off floor -> location may be stale (real available stock)
524,6198-23,4900,PTWY,1305711,11/17/25 10:30:17,moved off floor -> location may be stale (real available stock)
523,6198-22,4750,PTWY,1201510,08/23/17 10:24:43,moved off floor -> location may be stale (real available stock)
11315,8008-180,4700,PTWY,1304612,10/02/25 09:00:58,moved off floor -> location may be stale (real available stock)
312,8192-375,4700,PTWY,1406303,12/18/25 12:21:19,moved off floor -> location may be stale (real available stock)
982,6198-24,4700,PTWY,1204407,08/24/17 08:10:04,moved off floor -> location may be stale (real available stock)
649,6198-20,4600,PTWY,1505708,08/24/17 15:08:47,moved off floor -> location may be stale (real available stock)
4854,6753L-59,4600,PTWY,1303612,08/26/25 10:08:59,moved off floor -> location may be stale (real available stock)
310,8522l-85,4500,PTWY,1303604,08/26/25 09:39:07,moved off floor -> location may be stale (real available stock)
837,7958-12,4300,PTWY,1505506,05/11/18 15:14:25,moved off floor -> location may be stale (real available stock)
14799,ACI-7252,4000,PICK,MFG Floor,04/10/25 14:32:56,likely consumed/staged on floor -> verify if on-hand should be 0
1268,8176-155,4000,PTWY,1304703,10/09/25 14:26:18,moved off floor -> location may be stale (real available stock)
14840,8500-200,4000,PICK,MFG Floor,01/28/26 09:32:23,likely consumed/staged on floor -> verify if on-hand should be 0
43274,8119L-5,4000,PICK,MFG Floor,10/24/25 12:51:50,likely consumed/staged on floor -> verify if on-hand should be 0
1881,8452-215,3800,PTWY,1304307,02/22/22 12:15:10,moved off floor -> location may be stale (real available stock)
2600,7839L-50,3750,PTWY,1402405,11/24/25 12:36:19,moved off floor -> location may be stale (real available stock)
733,6802-120,3700,PTWY,1304410,08/25/25 12:36:09,moved off floor -> location may be stale (real available stock)
36973,6273ML-21,3500,PICK,MFG Floor,09/09/25 10:11:57,likely consumed/staged on floor -> verify if on-hand should be 0
30434,8417L-15,3500,PICK,MFG Floor,05/21/24 15:02:54,likely consumed/staged on floor -> verify if on-hand should be 0
12588,8764L-180,3040,PTWY,1406407,12/16/25 08:44:02,moved off floor -> location may be stale (real available stock)
1743,7605-9,3000,PTWY,1406105,11/25/25 11:45:20,moved off floor -> location may be stale (real available stock)
8742,ACI-5187,3000,PICK,MFG Floor,10/08/25 13:05:25,likely consumed/staged on floor -> verify if on-hand should be 0
