pcn,item,mpn,current_onhand,corrected_onhand,phantom_removed,relabel_adjt_count,relabel_units,loc_to,mfg_qty
33687,8335ML-10,06035C103KAT4A,20000,0,20000,2,20000,MFG Floor,10000
38827,8119L-115,ERJ-3GEYJ103V,25000,5000,20000,2,20000,MFG Floor,5000
11554,7798-25,RC0402FR-07100KL,26910,8970,17940,2,17940,1305803,0
9291,7808-8,MF1/4DCT52R1501F,13625,0,13625,4,13625,MFG Floor,3250
9279,7906-11,MF1/4DCT52R1002F,13520,0,13520,5,13520,MFG Floor,2220
32411,8525ML-1-660,ERJ-2RKF1003X,10000,0,10000,1,10000,MFG Floor,10000
30314,8525ML-1-640,RC0402FR-0710KL,10000,0,10000,1,10000,MFG Floor,10000
782,8245L-460,ERJ-2RKF2213X,19900,9950,9950,1,9950,1505309,0
219,ACI-215,ERJ-2RKF1203X,19000,9500,9500,1,9500,1505207,0
1247,7686-43,ERJ-2RKF10R0X,18000,9000,9000,1,9000,MFG Floor,0
9257,6779ML-80,MF1/4DCT52R2202F,11755,2870,8885,4,8885,MFG Floor,530
34581,8757L-10,CL10B104KB8WPND,8700,0,8700,2,8700,MFG Floor,4350
9352,7906-10,MF1/4DCT52R3300F,8675,0,8675,3,8675,MFG Floor,1000
1899,29028,CRCW1206100RFKEA,12540,4180,8360,2,8360,MFG Floor,4180
7516,8594l-680,RC1206JR-070RL,8200,0,8200,2,8200,MFG Floor,4100
33027,5189-1-89,RMCF0805JT10K0,11670,3890,7780,2,7780,1406506,0
1755,ACI-1706,C0603C103K5RAC7867,7600,0,7600,2,7600,MFG Floor,3800
8572,7131-8,C322C104K1R5TA7301,7205,0,7205,3,7205,MFG Floor,2165
9038,7726-9,1N4148TR,6600,0,6600,3,6600,MFG Floor,1600
9320,5684L-3,1N4003-T,6500,0,6500,2,6500,MFG Floor,2500
8990,8186-60,MF1/4DCT52R1003F,6470,0,6470,4,6470,MFG Floor,1045
822,ACI-1083,CRCW0402330KFKED,12800,6400,6400,1,6400,15051424,0
55,ACI-006,1N4148WT-7,8058,2686,5372,2,5372,1404104,0
14154,6590L-15,RMCF0805FT1K50,5000,0,5000,1,5000,MFG Floor,5000
31848,7754L-5,CRCW1206220RFKEA,5000,0,5000,1,5000,MFG Floor,5000
7927,8124L-65,ERJ-3EKF1004V,5000,0,5000,1,5000,MFG Floor,5000
8082,8119-115,RC0603FR-0710KL,5000,0,5000,1,5000,MFG Floor,5000
8189,8119-115,ERJ-3GEYJ103V,5000,0,5000,1,5000,MFG Floor,5000
12990,ACI-7007,MF1/4D C T52R 1003 F,5000,0,5000,1,5000,MFG Floor,5000
40175,7946L-330,ERJ-3GEYJ103V,5000,0,5000,1,5000,MFG Floor,5000
40173,7946L-330,ERJ-3GEYJ103V,5000,0,5000,1,5000,MFG Floor,5000
13849,8210L-130,EXB-V4V223JV,5000,0,5000,1,5000,MFG Floor,5000
40174,7946L-330,ERJ-3GEYJ103V,5000,0,5000,1,5000,MFG Floor,5000
30514,7584-18,C1005X7R1C104K050BC,5000,0,5000,1,5000,MFG Floor,5000
835,7785-42,RK73H1JTTD7501F,10000,5000,5000,1,5000,1204144,0
